fruits,noodle,bread,sea_meat_proc,seafood,vegetables,milk_product,drink,seasoned,alcohol,meat,snack,y
1.990390677,-1.012198809,-0.352723742,-0.984752689,0.292604272,0.018438872,-0.741526389,-0.712568505,8.609078746,-0.481356253,-0.192307535,-0.78796556,1
0.399025975,-1.130453848,-0.736949065,1.138269633,-0.35590706,-0.40759662,-0.103825334,-0.745347372,-0.912665658,-0.507464016,-0.037267258,-0.053418652,1
-1.084449594,-0.515527647,0.287651796,1.202119928,1.041995145,-0.211286148,0.76279405,-0.365112519,-0.842134218,-0.118748435,-0.466609563,0.346815241,1
0.587831956,-0.862409094,-0.53772112,-0.287720298,4.126026813,0.640784836,-0.900367678,-0.391335612,0.371006551,-0.46685194,0.050191359,-0.81150873,1
0.578841195,-1.461567955,-0.295801472,-0.564404911,-0.687368407,0.005908417,-0.638746732,-0.601120358,1.414871864,-0.014317383,-0.347347811,-0.943350483,1
0.039395534,0.682790077,0.387265769,-0.606971775,0.292604272,0.005908417,0.033992844,-0.592379328,-0.108607241,-0.339213988,-0.108824309,1.250872973,1
1.440156101,0.260225405,1.261022614,0.218825379,0.344485178,-0.174530145,1.181387564,-0.275954001,0.263798762,-0.288158807,-0.375970632,2.475117819,1
-0.86867133,0.477814676,3.083958313,0.467841531,-0.010034349,-0.896284391,2.678233119,4.748390681,-0.404839289,-0.45524849,-0.347347811,3.322671944,1
3.015337432,-0.420923617,-0.096573527,0.052814611,1.589626936,2.612243194,-0.447202825,-0.758458918,1.79574164,-0.420438139,0.225108595,-0.830343266,1
-1.030505028,-0.420923617,-0.747621991,-1.080528133,-0.593694548,-0.219639785,-0.930734395,-0.588008812,-0.679911905,-0.524869191,-0.329458549,-0.724399001,1
0.833954039,-0.255366562,0.031501581,0.388028662,0.033199739,1.020875325,-0.124848445,-0.640454998,1.235016691,-0.359520026,0.046215968,-0.745587854,1
5.651265097,-0.102710058,-0.604992893,0.668099276,0.324047246,3.73314941,0.053529473,-0.71793232,2.676743445,-0.448919335,0.073320911,-0.157436658,1
0.614804239,-0.79933974,0.35168935,0.020889463,-0.658545681,0.45700482,0.085382672,-0.509339532,0.483856855,-0.333412263,-0.22808606,-0.463069812,1
1.032874627,-0.373621601,-0.662238585,1.345783093,1.524775803,1.973189955,-1.218050255,0.657588121,2.049654824,-0.376925201,1.805326799,-1.091672455,1
-0.906432526,0.373750242,0.50964865,-0.330287162,-0.347260242,-0.986503672,0.020911796,0.007255407,-0.751853975,0.039058488,-0.22331559,0.698079339,1
-0.925987431,-0.551004159,-0.78497723,-1.567386635,-0.79905647,-0.470248899,-0.741526389,-0.774848352,-0.235563833,-0.472653665,0.269831751,-1.278840657,1
